NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comment
Promoter;BR;SP;Oferece boas parcerias para o motorista;O aplicativo é fácil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;9;Poderia colocar um campo para crédito ao passageiro quando falta troco, n?o precisando parar em lugares para trocar dinheiro, lembrando que troco agente leva,  mas as notas v?o acabando com As moedas.
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece boas funcionalidades de seguran?a;10;Gostaria de ver a foto do passageiro que pediu a corrido
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;O aplicativo é profissional;9;Ao chegar no ponto de partida, e o usuário n?o está presente, n?o sei a hora certa de cancelar a corrida. Para ganhar a taxa.
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;;10;Deixar mais claro os ganhos, o por que ficamos negativados.
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo é profissional;10;Estou satisfeito
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;;;10;Gostaria que fosse mais correto no deslocamento as vezes mim manda muito km pra pegar um passageiro e o passageiro vai ficar logo próximo e os km rodados até o local n?o e cobrado
Promoter;BR;SP;? seguro trabalhar com a 99;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;10;A plataforma da 99 e muito Boa só que no meu ponto de vista o tempo que nós motorista tem que esperar o passageiro e muito longo tem alguns lugares que nós n?o podemos ficar muito tem parado isso dificulta muito
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo é fácil de ser utilizado;Oferece boas funcionalidades de seguran?a;10;Até o momento só elegios. Parabéns!
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece uma rota segura de acordo com a prevista;? fácil receber meus ganhos na minha conta;9;Para o motorista  precisa algumas melhorias no aplicativo. Tipo n?o encerrar a corrida qua do entra uma nova, mostrar a localiza??o melhor,  entre outras
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;? fácil receber meus ganhos na minha conta;Oferece ganhos bons e estáveis;9;Cobrar mais caro em cidades com muito morros (obs:itapevi)
Promoter;BR;SP;? seguro trabalhar com a 99;O aplicativo é fácil de ser utilizado;Todos falam sobre a 99 de forma positiva;10;Tudo tranquilo
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;Tem regras justas;Oferece boas parcerias para o motorista;10;Precisaria clicar em quase todas as op??es, mas infelizmente só consigo clicar 3 op??es ?
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;;;9;A nova atualiza??o do app ficou uma merda.
Promoter;BR;SP;Tem regras justas;O aplicativo é profissional;Oferece boas funcionalidades de seguran?a;9;Sobre a 99 bom app .. cada vez melhorando em beneficios de todos
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Mostra as posi??es de embarque e desembarque corretamente;Oferece uma visualiza??o clara e correta dos meus ganhos;9;Nao
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Os passageiros s?o educados e têm uma rota de viagem segura;? seguro trabalhar com a 99;10;Muito bom
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;? seguro trabalhar com a 99;O aplicativo é fácil de ser utilizado;10;Gostaria de receber mais incentivos igual para todos motoristas
Promoter;BR;SP;O aplicativo é profissional;;;10;Dizer o bairro que o motorista vai antes de aceitar !!!
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece boas funcionalidades de seguran?a;O aplicativo é profissional;10;Sim,tem que fazer um ajuste no app,quando finalizo uma corrida e fico esperando o valor,entra outra corrida e fico sem saber o valor da corrida,aí tenho que cancelar a corrida que entrou para saber o valor correto.
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo é profissional;9;A 99 em minha opini?o é melhor que a Uber... Porém poderiam melhorar um pouquinho mais os ganhos
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo é profissional;10;A 99 e a primeira
Promoter;BR;SP;Oferece boas parcerias para o motorista;Todos falam sobre a 99 de forma positiva;O aplicativo é profissional;10;Obrigado pela seguran?a com o motorista
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;;;10;Poderia passar corridas mais proximas do motorista, pela economia de combustível, obrigado.
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;? fácil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;10;Só acho que quando nós ligasse para informar um problema, o atendente deixasse nós explicar o que aconteceu sem ficar interrompendo.
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Oferece uma visualiza??o clara e correta dos meus ganhos;O aplicativo é fácil de ser utilizado;9;Poderia melhorar o valor das corridas normais pois com o valor do combustível e manutencao do veículo fica difícil ter um ganho razoável
