NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comentário
Detractor;BR;POC;Os ganhos s?o poucos e inst??veis;N?o se importa com o motorista parceiro;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;3;
Neutral;BR;POC;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;As ferramentas de seguran?a n?o ajudam com uma viagem segura;N?o se importa com o motorista parceiro;7;
Detractor;BR;POC;Muitas corridas iniciam ou se encerram em ??reas de risco;;;0;Porque estou chamando e n?o vem nenhum carro  99
Promoter;BR;NE;Oferece informa??es suficientes do passageiro;;;10;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;;;10;
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;Oferece uma visualiza??o clara e correta dos meus ganhos;O aplicativo ?? f??cil de ser utilizado;9;
Promoter;BR;NE;Oferece boas funcionalidades de seguran?a;O aplicativo ?? profissional;? seguro trabalhar com a 99;10;O melhor s?? sinto falta de solicita??o de chamadas pq demora
Promoter;BR;NE;O aplicativo ?? profissional;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;10;Desde que comecei a dirigir por app, o 99 foi que mais me agradou e hoje s?? dirijo por ela. Simples, f??cil com  um bom suporte ao motorista.
Promoter;BR;NE;O aplicativo ?? profissional;? f??cil receber meus ganhos na minha conta;Mostra as posi??es de embarque e desembarque corretamente;10;Vc poderia da brinde para motorista
Promoter;BR;NE;Oferece uma visualiza??o clara e correta dos meus ganhos;;;10;
Promoter;BR;NE;Tem regras justas;Todos falam sobre a 99 de forma positiva;O aplicativo ?? f??cil de ser utilizado;10;
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;Tem regras justas;10;N?o tenho do que reclamar. Estou satisfeito
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;? f??cil receber meus ganhos na minha conta;10;O que me desagrada muito ?? o fato de muitas vezes vamos buscar um passageiro e chegando no local, esperamos o mesmo chegar e ele n?o aparece, da??,  cancelados a corrida e n?o recebemos nada pelo servi?o prestado. Isto ?? muito injusto e ainda mais recebemos o aviso da 99 que fomos respons??vel pelo cancelamento. \nIsto ?? uma verdadeira falta de compreens?o da 99 com os seus motorista. A concorr??ncia n?o deixa impune essa atitude do passageiro visto que o motorista teve tempo e combust??vel perdido.
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor f??cil de entrar em contato;Mostra as posi??es de embarque e desembarque corretamente;10;
Promoter;BR;NE;Oferece uma rota segura de acordo com a prevista;Oferece um atendimento ao consumidor f??cil de entrar em contato;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
Promoter;BR;NE;O aplicativo ?? profissional;;;10;
Promoter;BR;NE;Oferece boas parcerias para o motorista;Mostra as posi??es de embarque e desembarque corretamente;Oferece um atendimento ao consumidor f??cil de entrar em contato;10;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Oferece ganhos bons e est??veis;? f??cil receber meus ganhos na minha conta;10;Chamar mais pr??ximo do motorista
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;Raramente aparecem corridas de/para ??reas de risco;O aplicativo ?? f??cil de ser utilizado;10;
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;Oferece uma visualiza??o clara e correta dos meus ganhos;O aplicativo ?? f??cil de ser utilizado;10;Um pouco mais de seguran?a para n??s motorista
Promoter;BR;NE;Oferece uma rota segura de acordo com a prevista;;;10;
Promoter;BR;NE;Oferece boas parcerias para o motorista;Oferece boas funcionalidades de seguran?a;O aplicativo ?? profissional;10;Execelentes alternativas criadas pela 99 a cada dia as funcionalidades est?o dando mais seguran?a para n??s parceiros.
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;O aplicativo ?? f??cil de ser utilizado;Oferece uma visualiza??o clara e correta dos meus ganhos;9;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Oferece boas funcionalidades de seguran?a;? seguro trabalhar com a 99;10;
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;;;10;Parab??ns 99
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;;;10;
Promoter;BR;NE;Tem regras justas;Oferece ganhos bons e est??veis;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
Promoter;BR;NE;Oferece informa??es suficientes do passageiro;Oferece boas funcionalidades de seguran?a;O aplicativo atende todas as minhas necessidades de trabalho;10;Por q ela mim oferece seguran?a e muito bom pra digir
Promoter;BR;NE;O aplicativo ?? profissional;Todos falam sobre a 99 de forma positiva;;9;.
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;;10;Tenho satisfa??o em dirigir aqui.
Promoter;BR;NE;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;;;9;
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;? seguro trabalhar com a 99;O aplicativo ?? f??cil de ser utilizado;10;
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;O aplicativo ?? f??cil de ser utilizado;O aplicativo ?? profissional;9;A pol??tica de cancelamento deveria ser mais severa mais os passageiros,em um ??nico tenho diversas viagens canceladas onde eu chego no embarque e o passageiro simplismente n?o aparece EU tenho que cancelar a viagem e n?o recebo nada por isso, al??m de ficar 4 minutos vuneravel com o ve??culo parado !
Promoter;BR;NE;Tem regras justas;Oferece boas parcerias para o motorista;? f??cil receber meus ganhos na minha conta;10;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Raramente aparecem corridas de/para ??reas de risco;O aplicativo ?? f??cil de ser utilizado;9;Falta a foto do PASSAGEIRO urgente!!!\nExiste muitas viagens para terceiros deixando os motoristas vulner??veis...
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo ?? profissional;O aplicativo ?? f??cil de ser utilizado;10;99 eh pop
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;? seguro trabalhar com a 99;Oferece boas funcionalidades de seguran?a;10;Gosto de trabalhar com a 99
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo ?? profissional;Oferece ganhos bons e est??veis;9;O aplicativo ?? excelente, deveria mudar o sistema de cancelamento desloquei 3,5 para buscar o passageiro levei 10 minutos ao chegar no embarque o passageiro n?o apareceu.
Promoter;BR;NE;? seguro trabalhar com a 99;Oferece uma visualiza??o clara e correta dos meus ganhos;Todos falam sobre a 99 de forma positiva;10;99 muito bom
Promoter;BR;NE;Todos falam sobre a 99 de forma positiva;;;10;Pra o passageiro t?? ??timo. S?? n?o t?o pensando muito no motorista. \n
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;Oferece uma rota segura de acordo com a prevista;Oferece uma visualiza??o clara e correta dos meus ganhos;10;A 99 e um aplicativo muito bom
Promoter;BR;NE;Todos falam sobre a 99 de forma positiva;;;9;
Promoter;BR;NE;Oferece ganhos bons e est??veis;O aplicativo ?? f??cil de ser utilizado;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
Promoter;BR;NE;O aplicativo ?? profissional;Oferece ganhos bons e est??veis;O aplicativo atende todas as minhas necessidades de trabalho;9;
Promoter;BR;NE;O aplicativo ?? profissional;O aplicativo atende todas as minhas necessidades de trabalho;Oferece boas parcerias para o motorista;9;
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;O aplicativo ?? f??cil de ser utilizado;O aplicativo ?? profissional;9;N?o ser afetado taxa de desempenho quando o passageiro.nao tiver cadeirinha para seu filho !!!
Promoter;BR;NE;Oferece ganhos bons e est??veis;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;10;
Promoter;BR;NE;O aplicativo ?? profissional;;;10;
Promoter;BR;NE;O aplicativo ?? profissional;Todos falam sobre a 99 de forma positiva;O aplicativo ?? f??cil de ser utilizado;10;
Promoter;BR;NE;O aplicativo ?? profissional;Oferece boas parcerias para o motorista;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;10;
Promoter;BR;NE;O aplicativo ?? profissional;? seguro trabalhar com a 99;? f??cil receber meus ganhos na minha conta;9;Sensacional!!!
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;Oferece boas parcerias para o motorista;10;Boa noite a 99 e uma empresa muito boa de trabalhar, m??s a clientes com zero em educa??o infelizmente.e principalmente quando aparece ??rea de risco se torna muito perigoso ir buscar este passageiro por que na maioria e nas comunidades da grande recife e corremos muito risco de vida.mesmo a sim no momento e o ??nico trabalho est??vel pra poder colocar o p?o de cada dia na mesa da minha fam??lia.nao e f??cil mas agrade?o a 99 por me dar est?? oportunidades de ser motorista da 99.
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;O aplicativo ?? profissional;9;Quando vamos finalizar uma corrida e a plataforma encaminha no mesmo momento n?o aparece o valor da corrida.
Promoter;BR;NE;Todos falam sobre a 99 de forma positiva;Oferece informa??es suficientes do passageiro;O aplicativo ?? f??cil de ser utilizado;10;
Promoter;BR;NE;? seguro trabalhar com a 99;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece boas funcionalidades de seguran?a;10;Adoro a 99
Promoter;BR;NE;Os passageiros s?o educados e t??m uma rota de viagem segura;? f??cil receber meus ganhos na minha conta;O aplicativo ?? f??cil de ser utilizado;9;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Todos falam sobre a 99 de forma positiva;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;10;
Promoter;BR;NE;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece boas parcerias para o motorista;O aplicativo ?? profissional;10;Ol?? gostaria d e oferecer uma sugest?o. Sobre o pre?o da corrida no sub??rbio de Salvador. Tem corridas que n?o vale apena pelo valor ser baixo e ter muitos morros. Obrigado!
Promoter;BR;NE;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;? f??cil receber meus ganhos na minha conta;O aplicativo ?? f??cil de ser utilizado;10;
Promoter;BR;NE;Oferece uma rota segura de acordo com a prevista;Oferece ganhos bons e est??veis;Oferece uma visualiza??o clara e correta dos meus ganhos;10;Bom de mais ter aparecido aqui  na minha cidade.
Promoter;BR;NE;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;Raramente aparecem corridas de/para ??reas de risco;? f??cil receber meus ganhos na minha conta;10;Deveria ter a op??o da gente transferir dinheiro para conta
Promoter;BR;NE;Raramente aparecem corridas de/para ??reas de risco;;;10;
Promoter;BR;NE;O aplicativo ?? profissional;Oferece um atendimento ao consumidor f??cil de entrar em contato;Oferece uma visualiza??o clara e correta dos meus ganhos;10;Bem elaborado o aplicativo
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;Oferece ganhos bons e est??veis;? f??cil receber meus ganhos na minha conta;9;Gosto muito da 99. Apenas sugiro melhorias no tocante a taxa de cancelamento . Valor recebido pelo motorista ap??s esperar o passageiro por 5 minutos e ele n?o aparecer, da?? o motorista cancela e muitas vezes n?o recebe a taxa de cancelamento, o que desmotiva bastante os motoristas parceiros... Assim como as vezes passageiros solicitam na 99 e tbm em outras empresas a que chega primeiro ele vai embora e a outra pessoa fica l?? esperando at?? cancar e cancelar sem receber nada ... Fora isso parab??ns
Promoter;BR;NE;Oferece ganhos bons e est??veis;? seguro trabalhar com a 99;Oferece boas funcionalidades de seguran?a;10;
Promoter;BR;NE;O aplicativo ?? profissional;? f??cil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor f??cil de entrar em contato;10;Seria ??timo melhorar incentivos aos motoristas parceiros.
Promoter;BR;NE;Oferece boas parcerias para o motorista;O aplicativo ?? f??cil de ser utilizado;? seguro trabalhar com a 99;10;Gostaria de saber a respeito  do credenciamento em Fortaleza..??               \n        Por favor ?
Promoter;BR;NE;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;? f??cil receber meus ganhos na minha conta;O aplicativo atende todas as minhas necessidades de trabalho;10;
Promoter;BR;NE;Oferece uma rota segura de acordo com a prevista;Os passageiros s?o educados e t??m uma rota de viagem segura;Oferece uma visualiza??o clara e correta dos meus ganhos;10;A 99 tem grandes profissionais
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;;;10;
Promoter;BR;NE;O aplicativo ?? profissional;? seguro trabalhar com a 99;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;10;A todos vcs qu?? fazem parte da plataforma 99 pop meus parab??ns pelo ??timo trabalho
Promoter;BR;NE;O aplicativo ?? profissional;Oferece boas funcionalidades de seguran?a;Oferece um atendimento ao consumidor f??cil de entrar em contato;10;
Promoter;BR;NE;O aplicativo ?? profissional;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;10;Olha apenas acho ruim sobre o deslocamento e clientes que si negam a paga corridas essa semana perde dinheiro por conta disso e isso nos deixa no preju??zo e queria que todas as taxas de cancelamento force pra motorista pois agente roda at?? 4 km pra quando chegar l?? e ningu??m aparecer e agente n?o ganha nada isso e injusto mais quando ningu??m aparece e nos cancelamos pra continuar nosso trabalho agente paga uma taxa e isso e injusto certo mais hj e s?? trabalho com 99 e gostaria que melhorace isso
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Oferece boas parcerias para o motorista;Tem regras justas;10;Remunera??o ao motorista com taxa de cancelamento Aparti dos cinco minutos ser cobrado ao cliente.
Promoter;BR;NE;Oferece boas funcionalidades de seguran?a;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor f??cil de entrar em contato;9;
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;Oferece informa??es suficientes do passageiro;O aplicativo ?? f??cil de ser utilizado;10;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;;;9;
Promoter;BR;NE;Oferece uma rota segura de acordo com a prevista;Oferece boas parcerias para o motorista;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;10;
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;;;10;
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;O aplicativo ?? profissional;10;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;;;10;
Promoter;BR;NE;Oferece boas funcionalidades de seguran?a;? f??cil receber meus ganhos na minha conta;? seguro trabalhar com a 99;10;S?? n?o concordo com a % cobrada, acho muito alto
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor f??cil de entrar em contato;Oferece boas parcerias para o motorista;9;eu acho que deveria dar incentivo financeiro  e n?o completar deveria pagar de forma justa pelas campanhas.
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo ?? f??cil de ser utilizado;Todos falam sobre a 99 de forma positiva;10;Grato,\n\n
Promoter;BR;NE;Todos falam sobre a 99 de forma positiva;? f??cil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;10;Obrigado!99
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;Oferece uma visualiza??o clara e correta dos meus ganhos;Todos falam sobre a 99 de forma positiva;10;
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;Oferece uma visualiza??o clara e correta dos meus ganhos;Mostra as posi??es de embarque e desembarque corretamente;10;A Quest?o de mostrar o destino antes de pegar o passageiro ?? muito importante com rela??o ?? seguran?a.  Esse diferencial da 99 ?? o fator mais importante no meu ponto de vista.
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;O aplicativo ?? profissional;10;
Promoter;BR;NE;Todos falam sobre a 99 de forma positiva;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;Oferece boas funcionalidades de seguran?a;10;
Promoter;BR;NE;Oferece uma visualiza??o clara e correta dos meus ganhos;Mostra as posi??es de embarque e desembarque corretamente;? f??cil receber meus ganhos na minha conta;10;
Promoter;BR;NE;O aplicativo ?? profissional;Oferece boas funcionalidades de seguran?a;? f??cil receber meus ganhos na minha conta;10;Somente agradecer pela oportunidade!
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;;;10;
Promoter;BR;NE;Todos falam sobre a 99 de forma positiva;Mostra as posi??es de embarque e desembarque corretamente;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;10;Da m??s ouvidos aos motorista\n\n\n
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;Todos falam sobre a 99 de forma positiva;Oferece uma rota segura de acordo com a prevista;10;
Promoter;BR;NE;Oferece boas funcionalidades de seguran?a;? f??cil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;10;
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;O aplicativo ?? profissional;Oferece informa??es suficientes do passageiro;9;Quando o motorista cancelar uma corrida ?? porque tem motivos suficiente para fazer e voc??s n?o sabem de motivos e simplesmente com nenhum motorista tirando no trabalho jogando ele para o outro aplicativo pense nisso
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Oferece informa??es suficientes do passageiro;;10;S?? agradecer a Deus por esse aplicativo de modalidade pop!!!
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;Oferece boas parcerias para o motorista;? seguro trabalhar com a 99;10;? um previlegio fazer parte desta familia 99 obrigado por tudo
Promoter;BR;NE;? seguro trabalhar com a 99;Oferece boas funcionalidades de seguran?a;Oferece ganhos bons e est??veis;10;
Promoter;BR;NE;Oferece boas funcionalidades de seguran?a;O aplicativo ?? f??cil de ser utilizado;Oferece ganhos bons e est??veis;10;
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo ?? profissional;10;
Promoter;BR;NE;Oferece um atendimento ao consumidor f??cil de entrar em contato;O aplicativo ?? profissional;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
Promoter;BR;NE;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor f??cil de entrar em contato;Mostra as posi??es de embarque e desembarque corretamente;10;
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;;;9;Melhorem os criterios de corridas no cartao, tentem acreditar mais no motorista parceiro pq e mto facil o usuario falar mal do motorista qdo ele e mal educado com o motorista e agente perde a rasao mto rapido pq a plataforma as vzs deixa de acreditar no motorista. Eu por exemplo recebir uma msg hj me alertando de algo que algum usuario comentou de mim, mais tenhomha conciencia limpa do meu modo de trabalhar e se nao posso ajudar em algo tbm nao prejudico nem a,b,c. Ate pq nao tenho idade p isso!
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;? f??cil receber meus ganhos na minha conta;O aplicativo ?? f??cil de ser utilizado;9;
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;? seguro trabalhar com a 99;O aplicativo atende todas as minhas necessidades de trabalho;10;Melhorar o valor das corridas
Promoter;BR;NE;O aplicativo ?? profissional;? seguro trabalhar com a 99;Oferece boas parcerias para o motorista;10;Investirar mais na seguranca dos motoristas que trabalham na 99
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;Oferece um atendimento ao consumidor f??cil de entrar em contato;Mostra as posi??es de embarque e desembarque corretamente;10;Na hora do passageiro se cadastrar, sugiro orient??-lo que o mesmo est?? solicitando um servi?o de mobilidade urbana. Alguns passageiro tem alguns h??bitos que trazem alguns constrangimentos.
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Oferece informa??es suficientes do passageiro;;10;N?o
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Oferece uma rota segura de acordo com a prevista;O aplicativo ?? profissional;9;Sobre a meta de desempempenho muitas vezes cancelou corridos de passageiros que n?o est?? no embarque ou o embarque o carro n?o dar pra parar cancelo e sou prejudicado no desempenho, pra esses casos poderia ser a taxa menor para n?o cair t?o r??pido o desempenho
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;;;10;
Promoter;BR;NE;Todos falam sobre a 99 de forma positiva;;;10;
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;Oferece ganhos bons e est??veis;Oferece uma visualiza??o clara e correta dos meus ganhos;9;
Promoter;BR;NE;Oferece uma rota segura de acordo com a prevista;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;Tem regras justas;10;
Promoter;BR;NE;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor f??cil de entrar em contato;10;
Promoter;BR;NE;Tem regras justas;O aplicativo ?? profissional;Oferece um atendimento ao consumidor f??cil de entrar em contato;10;S?? poderia mudar o conceito de cancelamento pois as vezes o passageiro est?? com duas crian?as e sem cadeirinha e querendo levar 5 pessoas e n??s somos os respons??veis pelo cancelamento para n?o gerar multa
Promoter;BR;NE;Oferece uma visualiza??o clara e correta dos meus ganhos;;;9;
Promoter;BR;NE;Oferece informa??es suficientes do passageiro;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;Tem regras justas;10;Deixar o canal de comunica??o frequente e direta com o motorista
Promoter;BR;NE;Oferece boas funcionalidades de seguran?a;Oferece uma visualiza??o clara e correta dos meus ganhos;O aplicativo atende todas as minhas necessidades de trabalho;10;
Promoter;BR;NE;Tem regras justas;;;10;A 99 vai mudar a hist??ria do transporte complementar em Recife.
Promoter;BR;NE;Oferece ganhos bons e est??veis;;;9;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Oferece boas funcionalidades de seguran?a;O aplicativo ?? profissional;10;Muito boa mesmo
Promoter;BR;NE;Oferece ganhos bons e est??veis;Oferece uma rota segura de acordo com a prevista;Oferece boas funcionalidades de seguran?a;10;
Promoter;BR;NE;Oferece uma visualiza??o clara e correta dos meus ganhos;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;9;Mas seguran?a com mostra foto do passageiro e destino final antes de aceitar a corrida
Promoter;BR;NE;Oferece informa??es suficientes do passageiro;Oferece boas parcerias para o motorista;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
Promoter;BR;NE;Oferece informa??es suficientes do passageiro;Oferece ganhos bons e est??veis;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;10;Simplesmente de mais .
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;O aplicativo ?? profissional;Oferece boas parcerias para o motorista;10;Precisamos saber a identifica??o dos passageiros
Promoter;BR;NE;Oferece uma rota segura de acordo com a prevista;? f??cil receber meus ganhos na minha conta;Raramente aparecem corridas de/para ??reas de risco;10;
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;;;10;Quando o passageiro solicitar a corrida e n?o estiver no local indicado pelo GPS r??tula motorista cancelar n?o deveria ser responsabilizado por isso
Promoter;BR;NE;? f??cil receber meus ganhos na minha conta;O aplicativo ?? f??cil de ser utilizado;O aplicativo atende todas as minhas necessidades de trabalho;10;As tarifas est?o muito abaixo.....
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;;;10;
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;? f??cil receber meus ganhos na minha conta;O aplicativo ?? profissional;10;Por que a 99 n?o paga o motorista quando vai at?? o destino e o passaageiro n?o aparece mesmo o motorista esperando os 5 minutos de toler?ncia?
Promoter;BR;NE;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;O aplicativo ?? f??cil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;9;
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;;;9;Os embarques poderia ser mais perto
Promoter;BR;NE;Oferece boas funcionalidades de seguran?a;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;10;
Promoter;BR;NE;Oferece ganhos bons e est??veis;? f??cil receber meus ganhos na minha conta;Raramente aparecem corridas de/para ??reas de risco;10;
Promoter;BR;NE;Oferece informa??es suficientes do passageiro;;;10;Agrade?o a voc??s por tudo
Promoter;BR;NE;O aplicativo ?? profissional;O aplicativo ?? f??cil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;9;Maravilhoso para uma renda extra...
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;O aplicativo atende todas as minhas necessidades de trabalho;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Oferece ganhos bons e est??veis;O aplicativo ?? f??cil de ser utilizado;9;Mas seguran?a para os motoristas
Promoter;BR;NE;? seguro trabalhar com a 99;O aplicativo atende todas as minhas necessidades de trabalho;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
Promoter;BR;NE;Oferece informa??es suficientes do passageiro;? f??cil receber meus ganhos na minha conta;O aplicativo ?? f??cil de ser utilizado;9;N?o estou rodando pq est?? descredenciada aqui em Fortaleza
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo ?? profissional;10;Gostaria que a 99POP repensasse o valor da bonifica??o ao motorista quando o passageiro cancela a viagem,R$3,00 Que ?? o valor atual ??s n?o cobre as despesas com os Km que foram percorridos at?? o destino do cliente
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;Oferece boas parcerias para o motorista;Oferece uma visualiza??o clara e correta dos meus ganhos;9;Ter mais incentivos e fazer mais propagandas do aplicativo
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;? f??cil receber meus ganhos na minha conta;Mostra as posi??es de embarque e desembarque corretamente;10;
Promoter;BR;NE;Oferece uma visualiza??o clara e correta dos meus ganhos;Mostra as posi??es de embarque e desembarque corretamente;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;9;Deveria rev?? espera do passageiros tem tempo em espera mas de 5 minutos.o passageiro n?o vem samos bloqueado. Quando n?o foi nossa culpa\n
Promoter;BR;NE;O aplicativo ?? f??cil de ser utilizado;;;10;
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo ?? profissional;10;
Promoter;BR;NE;O aplicativo atende todas as minhas necessidades de trabalho;? f??cil receber meus ganhos na minha conta;Oferece ganhos bons e est??veis;10;
Promoter;BR;NE;Oferece boas parcerias para o motorista;O aplicativo atende todas as minhas necessidades de trabalho;Oferece boas funcionalidades de seguran?a;10;Melhorar mas os ganhos dos motoristas. Valor muito abaixo da passagem de ?nibus.
Promoter;BR;NE;Mostra as posi??es de embarque e desembarque corretamente;Raramente aparecem corridas de/para ??reas de risco;? f??cil receber meus ganhos na minha conta;10;
Promoter;BR;NE;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor de qualidade, com resposta r??pida e solu??o eficiente;O aplicativo ?? profissional;10;Estou gostando bastante de trabalhar poderia ter mais chamadas pq hoje mesmo passei 3 horas parado em Candeias... Ficar a dica
Promoter;BR;NE;? seguro trabalhar com a 99;;;10;E 10
Promoter;BR;NE;Oferece ganhos bons e est??veis;? f??cil receber meus ganhos na minha conta;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
