NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comentário
Neutral;BR;SP;Oferece poucas informa??es do passageiro;Muitas corridas iniciam ou se encerram em ??reas de risco;N?o se importa com o motorista parceiro;8;
Detractor;BR;SP;N?o tem regras justas;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;5;99 limita as ??reas de corridas em hor??rios de din?mica \nCorridas com embarque bem longe \nAlgumas vezes o motorista aceita corridas em ??rea din?mica mais o app n?o lan?a o valor din?mico\nQuando mal encerra a corrida toca outra chamada e o motorista n?o consegue ver o valor da ??ltima corrida para cobrar o passageiro\n99-completa ?? praticamente imposs??vel de se fazer quando falta poucas corridas para conseguir o app n?o manda mais corridas \nComo se n?o deixa-se que o motorista consiga o incentivo.\n
Detractor;BR;SP;N?o se importa com o motorista parceiro;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;N?o tem regras justas;3;
Detractor;BR;SP;N?o mostra o local de embarque e desembarque com precis?o;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;;6;Melhorar a localiza??o
Neutral;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;Os ganhos s?o poucos e inst??veis;;8;
Detractor;BR;SP;N?o se importa com o motorista parceiro;Os ganhos s?o poucos e inst??veis;N?o tem regras justas;1;Pagam pouco pelo servi?o
Detractor;BR;SP;Oferece poucas informa??es do passageiro;Muitos dos motoristas parceiros desistem da 99;Os ganhos s?o poucos e inst??veis;5;Melhorar no valor de repasse e corridas mas perto geralmente s?o mas de 5 km pra pegar o passageiro e levar 1 km n?o  compensa
Detractor;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;;;6;
Neutral;BR;SP;N?o mostra o local de embarque e desembarque com precis?o;N?o se importa com o motorista parceiro;Muitas corridas iniciam ou se encerram em ??reas de risco;8;
Detractor;BR;SP;As ferramentas de seguran?a n?o ajudam com uma viagem segura;Oferece poucas informa??es do passageiro;Muitas corridas iniciam ou se encerram em ??reas de risco;5;A 99 poderia ter mais corridas destino casa
Neutral;BR;SP;Os ganhos s?o poucos e inst??veis;;;8;
Detractor;BR;SP;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;Oferece poucas informa??es do passageiro;N?o tem regras justas;4;Bloqueiam os motoristas injustamente devido a viagem tem o percurso menor do que o km para ir busca-lo e por isso cancelamos pois gastamos mais pra buscar do que pra levar ai trabalhamos com a Uber enquanto estamos impedidos de ligar o app.
Neutral;BR;SP;N?o mostra o local de embarque e desembarque com precis?o;Muitas corridas iniciam ou se encerram em ??reas de risco;;8;
Detractor;BR;SP;N?o se importa com o motorista parceiro;;;5;
Neutral;BR;SP;As ferramentas de seguran?a n?o ajudam com uma viagem segura;? perigoso trabalhar com a 99;Os ganhos s?o poucos e inst??veis;8;
Neutral;BR;SP;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;N?o se importa com o motorista parceiro;Os ganhos s?o poucos e inst??veis;7;Tem corrida q o cliente cancela e a nossa taxa de desempenho e afetada por conta do erro do cliente e os valores das viagem tem q ser almentadas est?o muito baixa por q o combust??vel n?o para de aumentar
Neutral;BR;SP;? perigoso trabalhar com a 99;Oferece poucas informa??es do passageiro;Muitas corridas iniciam ou se encerram em ??reas de risco;8;
Detractor;BR;SP;N?o tem regras justas;N?o se importa com o motorista parceiro;Todos est?o falando sobre a 99 de forma negativa;5;99 completa,App n?o toca, qdo toca quase 1 hora de pegar o pax at?? o destino, sendo imposs??vel atingir o n?? de corridas impostos.Dinamica nunca toca o valor do app, se vc n?o aceita,  ??  bloqueado. Os pax tem a nossa foto, nossa  placa, sabem tudo a nosso respeito, n??s sequer temos a foto do  pax, risco grande com tantas coisas que s?? crescem a cada dia deixando n??s motoristas casa vzs mais vulner??vel.
Neutral;BR;SP;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;Os ganhos s?o poucos e inst??veis;N?o oferece uma visualiza??o clara e correta dos meus ganhos;8;"Tem varias corridas que o valor esta abaixo do cobrado. Tem os dizeres ""a diferen?a sera creditada na conta do parceiro"". Nao vi nenhuma vez isso ou nao ta claro."
Neutral;BR;SP;N?o se importa com o motorista parceiro;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;;7;
