NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comment
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é profissional;Todos falam sobre a 99 de forma positiva;10;Poderia quando o passageiro n?o tiver o valor em m?os jogar o valor para a próxima corrida igual a Uber pois o motorista toma muito prejuízo quanto a isso passageiro quer pagar o valor que quer e n?o tem como Ag fazer nada
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece ganhos bons e estáveis;Oferece informa??es suficientes do passageiro;10;
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;Tem regras justas;Oferece boas parcerias para o motorista;10;
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;;;10;Entrei em contato para saber sobre um pagamento de incentivo e n?o souberam me responder
Promoter;BR;SP;Oferece ganhos bons e estáveis;;;9;
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece ganhos bons e estáveis;? seguro trabalhar com a 99;9;
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo é profissional;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;10;
Promoter;BR;SP;Oferece ganhos bons e estáveis;Oferece uma rota segura de acordo com a prevista;Oferece uma visualiza??o clara e correta dos meus ganhos;9;Só n?o gosto do fato de n?o cobrar taxa de cancelamento. Muitas corridas o passageiro n?o aparece e fico no prejuízo
Promoter;BR;SP;O aplicativo é profissional;;;10;Muito bom
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;;10;
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;Raramente aparecem corridas de/para áreas de risco;Mostra as posi??es de embarque e desembarque corretamente;10;Pra mim está tudo certo só concelhos a manter novas tecnologia sempre mantendo isso\n
Promoter;BR;SP;Tem regras justas;O aplicativo é profissional;? fácil receber meus ganhos na minha conta;10;Quanto as áreas de risco, podemos aceitar ou até recusar sem prejuízo ao motorista.
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;O aplicativo é fácil de ser utilizado;Oferece ganhos bons e estáveis;10;i love 99
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Raramente aparecem corridas de/para áreas de risco;Oferece boas funcionalidades de seguran?a;10;O sistema de avalia??o  dos passageiros  à motorista tem que melhorar.
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Oferece boas parcerias para o motorista;Tem regras justas;10;Gostaria que melhorase o jps waze
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo é profissional;10;
Promoter;BR;SP;Oferece boas parcerias para o motorista;Todos falam sobre a 99 de forma positiva;Oferece um atendimento ao consumidor fácil de entrar em contato;9;
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;Oferece um atendimento ao consumidor fácil de entrar em contato;O aplicativo é profissional;10;
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece uma visualiza??o clara e correta dos meus ganhos;? fácil receber meus ganhos na minha conta;10;
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;? fácil receber meus ganhos na minha conta;;10;
Promoter;BR;SP;Oferece informa??es suficientes do passageiro;Todos falam sobre a 99 de forma positiva;Oferece boas parcerias para o motorista;10;
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Tem regras justas;Oferece uma visualiza??o clara e correta dos meus ganhos;10;Vcs s?o incríveis
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;Oferece boas parcerias para o motorista;O aplicativo é fácil de ser utilizado;10;Gosto muito da 99 pois é um aplicativo muito bom
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;;;10;
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece informa??es suficientes do passageiro;? fácil receber meus ganhos na minha conta;10;Depois que virei parceiro cuido melhor da minha família
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;Tem regras justas;? seguro trabalhar com a 99;10;A99 e 10
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Oferece boas parcerias para o motorista;O aplicativo é fácil de ser utilizado;10;
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece boas parcerias para o motorista;? fácil receber meus ganhos na minha conta;10;A 99 deveria se responsabilizar por pagamentos em dinheiro ou cart?o a exemplo de outros aplicativos.\nJá tive vários problemas com isso e fico inseguro em aceitar corridas em dinheiro.\nPrecisam dum área mais clara de AJUDA para o motorista.
Promoter;BR;SP;Os passageiros s?o educados e têm uma rota de viagem segura;Oferece informa??es suficientes do passageiro;Oferece um atendimento ao consumidor fácil de entrar em contato;10;
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;? fácil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;9;As viagens canceladso
Promoter;BR;SP;Oferece ganhos bons e estáveis;Os passageiros s?o educados e têm uma rota de viagem segura;Oferece boas funcionalidades de seguran?a;10;
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;O aplicativo é fácil de ser utilizado;Oferece boas parcerias para o motorista;10;Quando chegamos aos usuários,que eles n?o compareceu, receber recompensa.a 99 está pecando misto.
Promoter;BR;SP;Oferece uma rota segura de acordo com a prevista;? seguro trabalhar com a 99;Mostra as posi??es de embarque e desembarque corretamente;9;
Promoter;BR;SP;? seguro trabalhar com a 99;Mostra as posi??es de embarque e desembarque corretamente;? fácil receber meus ganhos na minha conta;9;Podiam dar um prêmio de recovencimento para motoristas que atingem 5 estrelas por prestar um excelente trabalho como a uber faz para seus parceiros!
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo é fácil de ser utilizado;10;
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;O aplicativo é profissional;Oferece um atendimento ao consumidor fácil de entrar em contato;9;
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;? fácil receber meus ganhos na minha conta;10;
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;O aplicativo é fácil de ser utilizado;? fácil receber meus ganhos na minha conta;10;
Promoter;BR;SP;Oferece boas parcerias para o motorista;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo atende todas as minhas necessidades de trabalho;10;99 é top
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;;;9;
